epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,11501.1,0.86973,0.554,0.00655,0.92015,0.88894,0.93868,0.7391,0.89569,0.43868,0.0083,0.000538438,0.000538438,0.000538438
117,11600.4,0.86237,0.52928,0.00619,0.90708,0.90398,0.944,0.74262,0.89371,0.43873,0.0082,0.00053225,0.00053225,0.00053225
118,11699.5,0.85499,0.54471,0.00628,0.91387,0.90051,0.94205,0.73883,0.89096,0.43202,0.00821,0.000526063,0.000526063,0.000526063
119,11799,0.86858,0.54753,0.00642,0.93547,0.872,0.93734,0.73575,0.88525,0.43303,0.00813,0.000519875,0.000519875,0.000519875
120,11898.7,0.87583,0.55275,0.00662,0.94624,0.88133,0.94104,0.73853,0.88734,0.4216,0.00812,0.000513688,0.000513688,0.000513688
121,11998.4,0.83732,0.52186,0.0061,0.92556,0.89713,0.94448,0.74203,0.88302,0.4363,0.00813,0.0005075,0.0005075,0.0005075
122,12097.8,0.8392,0.52282,0.00615,0.91568,0.89247,0.94143,0.74621,0.8831,0.43683,0.00815,0.000501313,0.000501313,0.000501313
123,12196.9,0.8653,0.53455,0.00635,0.92935,0.88854,0.94054,0.74975,0.87331,0.42886,0.00802,0.000495125,0.000495125,0.000495125
124,12295.9,0.84499,0.52918,0.0062,0.92646,0.88419,0.93905,0.74925,0.87894,0.4371,0.00811,0.000488938,0.000488938,0.000488938
125,12395.2,0.86149,0.53569,0.00644,0.92825,0.8907,0.93938,0.75075,0.87282,0.42944,0.00811,0.00048275,0.00048275,0.00048275
126,12494.8,0.85337,0.53117,0.00611,0.93077,0.88817,0.94144,0.75098,0.87453,0.43182,0.00811,0.000476562,0.000476562,0.000476562
127,12594.7,0.82191,0.51894,0.00621,0.92305,0.89464,0.94122,0.7455,0.87824,0.44655,0.00814,0.000470375,0.000470375,0.000470375
